Organization,Link,Sentence,isWayback,Label,Generality,Approximation,Degree,Combinatory,Explicit Subjectivity,Vagueness Label
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/544bde3b-6bb3-4bbd-8176-fa4fb630147a,"Newco assets will be included in Pembina's target of taking concrete action to achieve a 30 percent reduction in greenhouse gas emissions intensity by 2030, against a 2019 baseline.",False,1,,,,,,0
Imperial Oil,http://web.archive.org/web/20210826044201/https://news.imperialoil.ca/news-releases/news-releases/2021/Imperial-to-produce-renewable-diesel-at-Strathcona-refinery/default.aspx,Third-party studies have shown renewable diesel from various non-petroleum feedstocks can provide life-cycle greenhouse gas emissions reductions of approximately 40 percent to 80 percent compared to petroleum-based diesel.,True,1,,,,,,0
Suncor Energy,http://web.archive.org/web/20220701143738/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2016/2016-07-21-suncor-releases-2016-report-on-sustainability-and-new-long-term-sustainability-goals-en.pdf?modified=20210902050913," Air: We reduced our air emissions by 36%, significantly surpassing our goal to reduce emissions by 10%.",True,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123768&lang=en,A structure to manage power costs that allows Enbridge to continue its solar self-power initiatives to reduce emissions,False,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123817&lang=en,"Luc Rémont, Chairman and CEO, EDF Group, said: ""We are very proud to inaugurate the first offshore wind farm in Normandy, less than two years after the commissioning of the Saint-Nazaire wind farm in Loire-Atlantique.",False,1,,,very,proud,,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/e9f3cbe3-560d-44c0-a81a-53a70fcba0b2,"To meet the 2030 GHG emissions intensity target, Pembina will focus initially on operational opportunities, greater use of renewable and lower emission energy sources, and investments in a lower carbon economy.",False,1,,,,,,1
Imperial Oil,https://news.imperialoil.ca/news-releases/news-releases/2025/Imperial-announces-restructuring-to-further-advance-its-well-established-strategy-of-increasing-cash-flow-and-delivering-industry-leading-shareholder-returns/default.aspx,Imperial remains committed to responsibly producing the energy and products Canadians rely on and supporting the communities where it operates.,False,1,,,,,,1
Canadian Natural Resources,https://www.cnrl.com/content/uploads/2023/05/0504-Q123-Front-End.pdf,"Canadian Natural is an industry leader in abandonment and reclamation activity and through its active program, the Company has abandoned more than 3,000 wells per year in each of the last two years.",True,1,an,,,"active, well",,0
Canadian Natural Resources,https://www.cnrl.com/content/uploads/2024/05/0502-Q124-Front-End.pdf,"Our culture of continuous improvement provides a significant advantage to delivering on our strategy of investing in GHG technologies across our assets, including opportunities for methane emissions reduction.",True,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123663&lang=en,"Announced a 35% energy intensity reduction target by 2030, net-zero emissions by 2050, and diversity and inclusion goals, furthering nearly two decades of Environmental, Social and Governance (ESG) leadership",False,1,,,,,,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/e9f3cbe3-560d-44c0-a81a-53a70fcba0b2,"""The meaningful target we have announced today is supported by a solid foundation of baseline emissions data that will drive accurate and consistent reporting across the organization moving forward,"" added Mr. Dilger.",False,1,,,,,,1
Suncor Energy,http://web.archive.org/web/20220704154002/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2011/2011-11-03-suncor-energy-reports-2011-third-quarter-results-en.pdf?modified=20210902050641,"In Suncor's renewable energy business, development of the 88-megawatt Wintering Hills wind power project in southern Alberta is under budget and ahead of schedule.",True,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123674&lang=en,"Sanctioned 4 additional self-power projects for the Liquids system and placed the 10.5 MW Alberta Solar One facility into service, reducing pump station CO2 emissions",False,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123817&lang=en,"Working together with the region: a long-term commitment Throughout the development and construction phases over the past 12 years, the Fécamp Offshore Wind Farm project team has worked in close consultation with all local stakeholders, which has enabled us to best protect the landscape and surrounding environment and help ensure shared use of the sea.",False,1,,,,,,1
Canadian Natural Resources,https://www.cnrl.com/upload/media_element/1307/02/1105-q320-front-end.pdf,"As part of our comprehensive GHG emissions reduction strategy, our CCS projects include carbon dioxide (""CO2"") storage in geological formations, the use of CO2 in enhanced oil recovery techniques and injection of CO2 into tailings.",True,1,,,,comprehensive,our,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123680&lang=en,"New in this year's Sustainability Report are metrics established in 2020 to track the emission intensity of the energy transported by the Company and how its investments in renewable natural gas, hydrogen and renewable electricity are advancing the energy transition.",True,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123687&lang=en,"Once in service, the Company will own interests in six operating offshore wind projects located in Europe with a total gross generation capacity of more than 2.4 GW (0.6 GW net), enough to power over 2 million homes with renewable energy.",False,1,,,,,,0
Suncor Energy,http://web.archive.org/web/20220703214256/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2011/2011-12-01-suncor-energy-announces-rick-george-transition-plan-and-retirement-en.pdf?modified=20210902050645,"Suncor's environmental track record includes the successful surface reclamation of the industry's first tailings pond and implementation of TROTM, a new tailings management technology, which will significantly speed the time to reclamation of disturbed land area.",True,1,,,,,,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/e9f3cbe3-560d-44c0-a81a-53a70fcba0b2,"Pembina has recently announced new initiatives, and is actively exploring others, that represent fundamentally strong business opportunities and at the same time will contribute to the achievement of its GHG emissions reduction target including:",True,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123661&lang=en,"""Line 5, encased in a tunnel below the lakebed, is the best way to safeguard the precious waters of the Great Lakes and ensures that low cost, safe and reliable energy keeps flowing to Michigan, neighboring states and Canada's two largest provinces.""",True,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123647&lang=en,"To meet its 2030 emission intensity reduction target and 2050 net zero target, Enbridge will pursue multiple pathways, strongly aligned with, and embedded in, the Company's existing business plans, including:",True,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123700&lang=en,"""We're excited to be partnering with Capital Power in support of their commitment to a low-carbon energy future,"" said Colin Gruending, Enbridge Executive Vice President and President, Liquids Pipelines.",False,1,,,,,,1
Imperial Oil,http://web.archive.org/web/20211029124723/https://news.imperialoil.ca/news-releases/news-releases/2021/Imperial-announces-third-quarter-2021-financial-and-operating-results/default.aspx,The facility is expected to produce more than 1 billion litres per year of renewable diesel from locally grown feedstocks and has the potential to reduce annual greenhouse gas emissions by about 3 million tonnes compared to conventional fuels.,True,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123679&lang=en,"""From the start, the project has been about improving safety and reliability for communities and protecting the environment.""",False,1,,,,,,1
Suncor Energy,http://web.archive.org/web/20221007084203/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2020/2020-12-08-varennes-biofuel-partnership-en.pdf?modified=20220917163742,"Contribution to greenhouse gas (GHG) reduction equivalent to taking close to 50,000 vehicles off the road annually.",True,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123746&lang=en,"""The global energy crisis is shining a spotlight on the need for all sources of energy supply to ensure our energy security and economic competitiveness, while continuing to make progress on reducing emissions.",True,1,,,,,,1
Imperial Oil,http://web.archive.org/web/20210622082629/https://news.imperialoil.ca/news-releases/news-releases/2021/Canadas-largest-oil-sands-producers-announce-unprecedented-alliance-to-achieve-net-zero-greenhouse-gas-emissions/default.aspx,"""Canadian ingenuity has enabled oil sands development and with continued innovation, positions Canada to be the ESG-leading barrel to meet global energy demand.",True,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123711&lang=en,"""We applaud Lehigh and Enbridge in advancing plans for definitive climate action in Canada with this full chain CCUS initiative and we are proud to be a part of the carbon capture development at Lehigh's Edmonton cement plant,"" said Mark Demchuk, National Director, Strategy & Stakeholder Relations at the International CCS Knowledge Centre.",True,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123784&lang=en,"Today, climate change is another such pivotal moment and Canada has an opportunity to show leadership – that opportunity is natural gas, stated Ebel.",True,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123663&lang=en,"ESG has long been integrated into our business and strategies, and in 2020, we raised the bar again by committing to a 35% reduction in energy intensity by 2030, net-zero emissions by 2050 and setting new diversity and inclusion goals all tied to management compensation.",True,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123713&lang=en,"The program includes ratable capital requirements for both Gas Transmission's modernization and Gas Distribution's utility growth programs, as well as 4 offshore wind projects in France providing a combined 1.5 GW (0.3 GW net) of generation capacity, and a number of other smaller projects across each of Enbridge's businesses.",True,1,,,,,,0
Suncor Energy,http://web.archive.org/web/20220701100108/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-02-02-nr-su-q4-2021-en.pdf?modified=20220203002122,"Fabrication of a commercial biorefinery plant near Soperton, Georgia, is well underway and is expected to be on-stream in late2022, and will allow Suncor to supply sustainable low-emissions aviation fuel to customers.",True,1,a,,"late, low, near","sustainable, well",,1
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/e9f3cbe3-560d-44c0-a81a-53a70fcba0b2,"Pembina has recently announced new initiatives, and is actively exploring others, that represent fundamentally strong business opportunities and at the same time will contribute to the achievement of its GHG emissions reduction target including:",False,1,,,,,,0
Suncor Energy,http://web.archive.org/web/20221007084203/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2020/2020-12-08-varennes-biofuel-partnership-en.pdf?modified=20220917163742,"'Shell Canada is delighted with the proposed partnership with Enerkem, a leading Canadian cleantech company, and we see this as a step forward towards a net-zero emissions future.",True,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123670&lang=en,"""For example, the Niagara RNG facility project will generate enough clean energy to heat 8,750 homes and reduce GHG emissions by 48,000 tonnes per year.",False,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123722&lang=en,"""The EIEC is already the premier export facility on the U.S. Gulf Coast and will play an even greater role in global energy security and sustainability.",False,1,an,,,great,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123773&lang=en,"a detailed overview of sources of methane emissions from Enbridge operations along with Company, industry and policy actions to better monitor and mitigate emissions;",True,1,,,,,,1
Suncor Energy,http://web.archive.org/web/20220701143738/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2016/2016-07-21-suncor-releases-2016-report-on-sustainability-and-new-long-term-sustainability-goals-en.pdf?modified=20210902050913,"We share in the global challenge to tackle climate change head on by reducing emissions, while providing energy the world needs.",True,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123697&lang=en,"And, we're partnering with leading low-carbon energy companies to combine their technologies with our existing energy infrastructure capabilities.",True,1,,,,,,1
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/75e2ce7e-6744-4ec4-a048-2c41be88736e,The Project represents a significant opportunity to bring tremendous economic benefits to the State of Oregon and Western Colorado and make a substantial contribution to addressing global climate change by replacing coal in Asia.,False,1,,,,,,1
Shell Canada,http://web.archive.org/web/20190926171658/https://www.shell.ca/en_ca/media/news-and-media-releases/news-releases-2019/quest-ccs-facility-reaches-major-milestone.html,"The Quest CCS facility captures and stores about one third of the CO2 emissions from the Shell-operated Scotford Upgrader near Fort Saskatchewan, Alberta, which turns oil sands bitumen into synthetic crude that can be refined into fuel and other products.",True,1,,about,near,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123753&lang=en,Enbridge and Oxy Low Carbon Ventures (OLCV) announced that they are jointly developing a carbon dioxide (CO2) sequestration hub in the Corpus Christi area of the Texas Gulf Coast.,False,1,a,,,,,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/87981cd6-b786-4a87-b62b-a6794238f970,"The PLCC will be focused on attracting and developing investment for innovative and emerging energy transition technologies, sustainable fuels, and chemicals, specifically low-carbon hydrogen and hydrogen carriers such as ammonia and methanol.",True,1,,,,,,0
Suncor Energy,http://web.archive.org/web/20220704144436/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2015/2015-11-22-oil-sands-companies-demonstrate-leadership-on-climate-change-en.pdf?modified=20210902050845,"By directing revenue generated from the new carbon pricing regime towards the development of potentially game-changing greenhouse gas (GHG) reduction technologies, this made-in-Alberta plan lays the foundation for the province to become a global leader in addressing the climate change challenge.",True,1,"a, potentially",,new,,,1
Shell Canada,http://web.archive.org/web/20170913004920/http://www.shell.ca/en_ca/media/news-and-media-releases/news-releases-2012/fuelling-change.html,"Today, Shell will award $1 million to Canadian environmental projects, chosen by its customers.",True,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123711&lang=en,"""We applaud Lehigh and Enbridge in advancing plans for definitive climate action in Canada with this full chain CCUS initiative and we are proud to be a part of the carbon capture development at Lehigh's Edmonton cement plant,"" said Mark Demchuk, National Director, Strategy & Stakeholder Relations at the International CCS Knowledge Centre.",False,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123760&lang=en,"Established in 2019, Maple Power, together with its partners and shareholders, manages a portfolio of 3.2 GW (gross) of European offshore wind projects.",True,1,a,,,,,0
Suncor Energy,http://web.archive.org/web/20220704143338/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2013/2013-08-26-suncor-energy-opens-new-reclamation-project-nikanotee-fen-en.pdf?modified=20210902050737,"'I also look forward to continued collaboration on this great project, as we are deeply committed to returning land to a natural state for future generations.",True,1,,,,,,1
Suncor Energy,http://web.archive.org/web/20220629130830/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2010/2010-08-17-suncor-energy-releases-2010-report-on-sustainability-en.pdf?modified=20210902050604,"As a result of the 2009 merger with Petro-Canada, this year's report includes consolidated social and environmental data from both companies, including historic data where available.",True,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123680&lang=en,"""For the past two decades, we've been committed to integrating sustainability into all that we do, publicly reporting both on our progress and the priority work which remains,"" said Pete Sheffield, Enbridge's Chief Sustainability Officer.",True,1,,,,,,1
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/dbb773ae-26bd-4f6e-808d-f8716a632c25,"The Company's Safety, Environment and Security (""SES"") management system is a cornerstone of Pembina's success and is deeply embedded in its corporate culture.",True,1,a,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123687&lang=en,"This is an exciting opportunity reflecting the vital role that natural gas is expected to play in displacing higher-carbon sources of power generation, while providing reliable and affordable energy to the people of Tennessee.",True,1,an,,high,"affordable, exciting, natural, reliable",,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123723&lang=en,"We're working closely with our customers to accelerate new infrastructure investments to meet growing demand, increase connections to export markets, and enable cleaner energies.",False,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123670&lang=en,This is just one example of how Enbridge is connecting consumers to renewables sources of energy.,False,1,,,,just,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123696&lang=en,"Our core businesses include Liquids Pipelines, which transports approximately 25 percent of the crude oil produced in North America; Gas Transmission and Midstream, which transports approximately 20 percent of the natural gas consumed in the U.S.; Gas Distribution and Storage, which serves approximately 3.8 million retail customers in Ontario and Quebec; and Renewable Power Generation, which generates approximately 1,766 MW of net renewable power in North America and Europe.",False,1,,approximately,,"crude, natural",,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123736&lang=en,Tri Global Energy is among America's top utility-scale renewable energy developers.,False,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123646&lang=en,Commenced construction of the 500 MW Fécamp offshore wind farm and 480 MW Saint Nazaire offshore wind farm construction remains on track for late 2022 in-service date,True,1,,,late,,,0
Suncor Energy,http://web.archive.org/web/20220704143556/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2009/2009-06-18-suncor-sees-possibilities-outlines-environmental-goals-in-sustainability-report-en.pdf?modified=20210902050521,"The seventh biennial report, entitled 'Seeing the Possibilities in a Changing World,' profiles Suncor's progress on a wide range of sustainability objectives.",True,1,a,,wide,,,0
Suncor Energy,http://web.archive.org/web/20221007093204/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2019/2019-10-15-nr-suncor-50m-enerkem-en.pdf?modified=20220921202949,"EAB is the first commercial-scale plant in the world to turn non-recyclable, non-compostable mixed municipal solid waste into cellulosic ethanol, a popular biofuel.",True,1,a,,,"popular, solid",,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/b5658227-fae2-4f23-a8bf-3fd267417caf,"The 100 MW of capacity from the PPA should provide an estimated 335,000 MWh annually of renewable energy to Alberta's power grid, or enough to power over 45,000 homes for a year.",False,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123623&lang=en,"Enbridge has filed for all major environmental permits, including the Joint Permit Application with the EGLE and the USACE, as well as an independent application to the Michigan Public Service Commission.",True,1,"all, an",,major,"independent, well",,0
Imperial Oil,https://news.imperialoil.ca/news-releases/news-releases/2025/Imperial-announces-first-quarter-2025-financial-and-operating-results/default.aspx,"Construction continued on Canada's largest renewable diesel facility at the Strathcona refinery, on track for start-up in mid-2025.",False,1,,,,,,1
Suncor Energy,http://web.archive.org/web/20220701130341/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2011/2011-03-03-suncor-energy-reports-2010-fourth-quarter-results-en.pdf?modified=20210902050623,Spending was focused on merger integration related activities and renewable energy.,True,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123687&lang=en,"Combined, these three projects will generate enough renewable energy to power over 1 million homes.",False,1,,,enough,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123836&lang=en,"We're investing in modern energy delivery infrastructure to sustain access to secure, affordable energy and building on two decades of experience in renewable energy to advance new technologies including wind and solar power, hydrogen, renewable natural gas and carbon capture and storage.",False,1,,,,,,1
Imperial Oil,http://web.archive.org/web/20211029124723/https://news.imperialoil.ca/news-releases/news-releases/2021/Imperial-announces-third-quarter-2021-financial-and-operating-results/default.aspx,The company continues to make progress on its greenhouse gas emission reduction plans and efforts to position the company for success in a lower-carbon energy future.,True,1,,,,,,1
Shell Canada,http://web.archive.org/web/20170911231456/http://www.shell.ca/en_ca/media/news-and-media-releases/news-releases-2013/lng-station.html,"Globally, a broad range of fuel options ranging from electrification to biofuels and more efficient traditional hydrocarbon fuels will be needed to meet growing transportation demand.",True,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123700&lang=en,"""It's exciting to partner with Enbridge – a sustainability leader – on this project and support their efforts in pursuit of the Open Access Wabamun Carbon Hub.",True,1,a,,,exciting,,1
Canadian Natural Resources,https://www.cnrl.com/content/uploads/2024/07/0801-Q224-Front-End.pdf,"Canadian Natural continues to Invest in a range of technologies like solvents tor enhanced recovery and Carbon Capture, Utilization and Storage ('CCUS') projects.",False,1,,,,,,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/b5658227-fae2-4f23-a8bf-3fd267417caf,The emissions reductions available from the PPA and the cogeneration facility currently being constructed at Empress represent approximately seven percent of Pembina's 2019 reported greenhouse gas emissions.,True,1,,,,,,0
Suncor Energy,http://web.archive.org/web/20220703205756/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2013/2013-07-17-suncor-energy-releases-2013-report-on-sustainability-en.pdf?modified=20210902050733,"Overall, total reported air emissions in 2012 decreased by 8.7 per cent compared to 2011 levels.",True,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123691&lang=en,"The team will leverage and build upon Enbridge's early investments in the areas of RNG, hydrogen, and carbon capture, utilization and sequestration (CCUS), as well as other low-carbon technologies.",True,1,,,,,,1
Suncor Energy,http://web.archive.org/web/20220703211358/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2012/2012-06-14-suncor-energy-officially-opens-wintering-hills-wind-power-project-en.pdf?modified=20210902050703,"""We are proud to celebrate the grand opening of our first investment in wind power,"" said Ray Reipas, senior vice president, Energy, Teck.",True,1,,,,,,0
Shell Canada,http://web.archive.org/web/20170913004920/http://www.shell.ca/en_ca/media/news-and-media-releases/news-releases-2012/fuelling-change.html,The beauty of FuellingChange is that is allows customers to select the environmental projects that Shell Canada funds.,True,1,,,,,,1
Suncor Energy,http://web.archive.org/web/20220703210955/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2011/2011-12-22-suncor-energy-recognized-by-industry-association-for-commitment-to-biofuels-en.pdf?modified=20210902050649,Suncor has been an active member of the CRFA for the past four years and has been working with this group to progress the policy framework for biofuels.,True,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123735&lang=en,"""We believe this partnership exemplifies how Enbridge and Indigenous communities can work together, not only in stewarding the environment, but also in owning and operating critical energy infrastructure.",True,1,,,,critical,,1
Shell Canada,https://www.shell.ca/en_ca/media/news-and-media-releases/news-releases-2025/shell-completes-asset-swap-increasing-interests-in-scotford-upgrader-and-quest-ccs-facility.html,Shell only controls its own emissions.,False,1,,,,,,1
Suncor Energy,http://web.archive.org/web/20221007083429/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2020/2020-06-02-nr-su-lanzajet-release-en.pdf?modified=20220917161938,"The LanzaJet process can use any source of sustainable ethanol for jet fuel production, including, but not limited to, ethanol made from recycled pollution, the core application of LanzaTech's carbon recycling platform.",True,1,,,,sustainable,,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/b2ba241c-3287-4179-9dac-7e925621f35b,"On-going innovation and partnerships are critical to the success of both industry and government in reaching our economic and environmental goals,"" said the Honourable Jason Nixon, Minister of Environment and Parks.",True,1,,,,,,1
Shell Canada,http://web.archive.org/web/20200622084848/https://www.shell.ca/en_ca/media/news-and-media-releases/news-releases-2019/in-partnership-with-htec.html,"This data reflects a broader attitude in the province, as 86% of British Columbians say switching to a hydrogen fuel vehicle is good for the environment.",True,1,,,,,,0
Suncor Energy,http://web.archive.org/web/20230320193125/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-02-14-news-release-earnings-q4-2022-en.pdf?modified=20230317131412,Reducing GHG emissions is a key component of the company's business strategy and long-term vision.,True,1,a,,long,,,1
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/a86f7b93-e454-448d-a241-988fa271db77,"Our goal is for everyone to return home safely at the end of the day and so these outstanding results are a testament to our commitment to that goal.""",True,1,a,nan,so,"outstanding, safely",our,2
Enbridge,https://www.enbridge.com/media-center/news/details?id=123743&lang=en,It is also investing in new technologies to support energy transition.,False,1,nan,nan,nan,nan,nan,1
Suncor Energy,http://web.archive.org/web/20220704153010/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2017/2017-12-04-suncor-energy-begins-regulatory-process-to-add-significant-low-carbon-power-en.pdf?modified=20210902051007,Suncor Energy begins regulatory process to add significant low-carbon power with cogeneration at its Oil Sands operations,True,1,nan,nan,low,significant,nan,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123711&lang=en,"Since 1956, Lehigh Cement has been an innovator, partner and collaborator in advancing the cement and concrete industry, and supporting Alberta's economy.",True,1,an,nan,nan,nan,nan,2
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/c8f37bc6-7e6a-480b-8afd-c78c10c51abf,"Joint ventures are those entities over whose activities the Company has joint control, established by contractual agreement and requiring unanimous consent for strategic financial and operating decisions.",True,1,nan,nan,nan,nan,nan,2
Canadian Natural Resources,https://www.cnrl.com/upload/media_element/1322/03/0609-oil-sands-alliance.pdf,"efficiency, fuel switching, electrification, infrastructure corridors and new emissionsreducing technologies.",True,1,nan,nan,nan,nan,nan,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123737&lang=en,"With a deep appreciation for the very solid foundation that Enbridge has set over more than a century of reliably delivering energy, we are all excited about growing the Company well into the future.",True,1,nan,nan,nan,nan,nan,2
Enbridge,https://www.enbridge.com/media-center/news/details?id=123663&lang=en,A webcast replay and podcast will be available approximately two hours after the conclusion of the event and a transcript will be posted to the website within 24 hours.,False,1,a,approximately,nan,nan,nan,2
Enbridge,https://www.enbridge.com/media-center/news/details?id=123807&lang=en,"""Natural gas utilities have long useful lives and are 'must-have' infrastructure for providing safe, reliable, and affordable energy.",True,1,nan,nan,nan,nan,nan,2
Enbridge,https://www.enbridge.com/media-center/news/details?id=123697&lang=en,"Over the last two decades, we've significantly expanded our natural gas business and connections to LNG markets, extended our crude oil platform to the U.S. Gulf Coast and waterborne exports, and built a world-class renewables business.",True,1,a,nan,nan,"crude, natural, significantly","our, we",1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123715&lang=en,"Today, the Government of Alberta announced that Enbridge (TSX: ENB) (NYSE: ENB) has been awarded the right to pursue development of a carbon dioxide (CO2) sequestration hub west of Edmonton, Alberta.",True,1,nan,nan,nan,nan,nan,0
Suncor Energy,http://web.archive.org/web/20220703210616/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2010/2010-12-17-suncor-energy-unveils-ten-year-growth-strategy-en.pdf?modified=20210902050617,"While much of our work is long term in focus, we have also established nearer-term goals to accelerate land reclamation, reduce absolute air emissions and water use, and improve energy efficiency by 2015.",True,1,nan,nan,nan,nan,nan,1
Suncor Energy,http://web.archive.org/web/20221007084025/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-07-18-news-release-su-enters-agreement-elliott-en.pdf?modified=20220909213549,"As part of its agreement with Elliott, Suncor has appointed the following three new independent directors to its Board, effective immediately:",True,1,nan,nan,new,"effective, independent",nan,2
Shell Canada,http://web.archive.org/web/20170913012336/http://www.shell.ca/en_ca/media/news-and-media-releases/news-releases-2014/competition-energy-four-seven-billion.html,"""Energy supports nearly every aspect of our lives, but it's not always obvious where and how,"" says Lorraine Mitchelmore, President and Country Chair, Shell Canada, "" We naturally tend to think of heating homes or driving, but thousands of basic necessities and consumer products are made possible by energy.",True,1,nan,nan,nan,nan,nan,2
Enbridge,https://www.enbridge.com/media-center/news/details?id=123779&lang=en,The Gas utilities fit Enbridge's long held investor proposition of low-risk businesses with predictable cash flow growth and strong overall returns.,True,1,nan,nan,"long, overall","low-risk, strong",nan,2
Suncor Energy,http://web.archive.org/web/20220704154002/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2011/2011-11-03-suncor-energy-reports-2011-third-quarter-results-en.pdf?modified=20210902050641,The extended dockside maintenance program originally planned for Terra Nova in 2011 has been deferred until 2012 so that plans to resolve hydrogen sulphide issues may be implemented concurrently.,True,1,nan,nan,so,nan,nan,2
Suncor Energy,http://web.archive.org/web/20220704154002/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2011/2011-11-03-suncor-energy-reports-2011-third-quarter-results-en.pdf?modified=20210902050641,"'The tremendous work of our employees and contractors on Suncor's operational excellence management system has helped us improve reliability across the company,' said George. '",True,1,nan,nan,nan,improve,our,2
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/48223166-81f6-4563-a5a3-e327146dd7a8,"At the same time, positive industry momentum is leading to contracting success and providing growth opportunities that will benefit Pembina and its stakeholders in the coming years.",True,1,nan,nan,nan,positive,nan,2
Suncor Energy,http://web.archive.org/web/20220701132103/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2017/2017-02-27-suncor-energy-announces-redemption-of-notes-en.pdf?modified=20210902050941,"'This announcement is evidence of our ongoing commitment to capital discipline through the further strengthening of our balance sheet,' said Steve Williams, Suncor's president and chief executive officer.",True,1,nan,nan,nan,nan,nan,2
